Energy delta[Wh],GHI,temp,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all,isSun,sunlightTime,dayLength,SunlightTime/daylength,weather_type,month
0,0.0,-0.0,1006,99,2.7,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,-0.0,1006,99,2.7,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,-0.0,1006,99,2.7,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,-0.0,1006,99,2.7,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.2,1007,99,3.0,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.2,1007,99,3.0,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.2,1007,99,3.0,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.2,1007,99,3.0,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.2,1007,99,3.1,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.2,1007,99,3.1,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.2,1007,99,3.1,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.2,1007,99,3.1,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.3,1007,99,3.5,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.3,1007,99,3.5,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.3,1007,99,3.5,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.3,1007,99,3.5,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,0.8,1008,98,3.7,0.0,0.0,99,0,0,465,0.0,4,12
0,0.0,0.8,1008,98,3.7,0.0,0.0,99,0,0,465,0.0,4,12
0,0.0,0.8,1008,98,3.7,0.0,0.0,99,0,0,465,0.0,4,12
0,0.0,0.8,1008,98,3.7,0.0,0.0,99,0,0,465,0.0,4,12
0,0.0,1.0,1008,98,3.9,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,1.0,1008,98,3.9,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,1.0,1008,98,3.9,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,1.0,1008,98,3.9,0.0,0.0,100,0,0,465,0.0,4,12
0,0.0,1.2,1009,98,3.8,0.0,0.0,99,0,0,465,0.0,4,12
0,0.0,1.2,1009,98,3.8,0.0,0.0,99,0,0,465,0.0,4,12
0,0.0,1.2,1009,98,3.8,0.0,0.0,99,0,0,465,0.0,4,12
0,0.0,1.2,1009,98,3.8,0.0,0.0,99,0,0,465,0.0,4,12
0,1.5,1.3,1009,98,3.8,0.0,0.0,98,1,15,465,0.03,4,12
0,5.6,1.3,1009,98,3.8,0.0,0.0,98,1,30,465,0.06,4,12
28,10.9,1.3,1009,98,3.8,0.0,0.0,98,1,45,465,0.1,4,12
48,16.4,1.3,1009,98,3.8,0.0,0.0,98,1,60,465,0.13,4,12
68,15.1,1.8,1010,98,3.7,0.0,0.14,99,1,75,465,0.16,5,12
127,16.3,1.8,1010,98,3.7,0.0,0.14,99,1,90,465,0.19,5,12
145,22.1,1.8,1010,98,3.7,0.0,0.14,99,1,105,465,0.23,5,12
192,27.9,1.8,1010,98,3.7,0.0,0.14,99,1,120,465,0.26,5,12
246,33.8,2.1,1011,98,3.6,0.2,0.0,98,1,135,465,0.29,5,12
280,36.0,2.1,1011,98,3.6,0.2,0.0,98,1,150,465,0.32,5,12
456,15.9,2.1,1011,98,3.6,0.2,0.0,98,1,165,465,0.35,5,12
300,29.0,2.1,1011,98,3.6,0.2,0.0,98,1,180,465,0.39,5,12
314,43.0,2.9,1011,96,4.0,0.32,0.0,97,1,195,465,0.42,5,12
311,43.2,2.9,1011,96,4.0,0.32,0.0,97,1,210,465,0.45,5,12
435,42.0,2.9,1011,96,4.0,0.32,0.0,97,1,225,465,0.48,5,12
424,25.2,2.9,1011,96,4.0,0.32,0.0,97,1,240,465,0.52,5,12
261,19.6,3.6,1012,95,3.9,0.25,0.0,100,1,255,465,0.55,5,12
297,20.9,3.6,1012,95,3.9,0.25,0.0,100,1,270,465,0.58,5,12
631,15.9,3.6,1012,95,3.9,0.25,0.0,100,1,285,465,0.61,5,12
