Energy delta[Wh],GHI,temp,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all,isSun,sunlightTime,dayLength,SunlightTime/daylength,weather_type,month
-4.2382617,0.0,3.1,1013,91,5.8,0.0,0.0,100,0,0,450,0.0,4,1
-4.2382617,0.0,3.1,1013,91,5.8,0.0,0.0,100,0,0,450,0.0,4,1
7.949262,0.0,3.4,1013,91,5.7,0.0,0.0,100,0,0,450,0.0,4,1
7.949262,0.0,3.4,1013,91,5.7,0.0,0.0,100,0,0,450,0.0,4,1
7.949262,0.0,3.4,1013,91,5.7,0.0,0.0,100,0,0,450,0.0,4,1
7.949262,0.0,3.4,1013,91,5.7,0.0,0.0,100,0,0,450,0.0,4,1
-1.1815193,0.0,3.0,1013,91,5.5,0.0,0.0,100,0,0,450,0.0,4,1
-1.1815193,0.0,3.0,1013,91,5.5,0.0,0.0,100,0,0,450,0.0,4,1
-1.1815193,0.0,3.0,1013,91,5.5,0.0,0.0,100,0,0,450,0.0,4,1
-1.1815193,0.0,3.0,1013,91,5.5,0.0,0.0,100,0,0,450,0.0,4,1
7.5474977,0.0,3.0,1012,91,5.4,0.0,0.0,100,0,0,450,0.0,4,1
7.5474977,0.0,3.0,1012,91,5.4,0.0,0.0,100,0,0,450,0.0,4,1
7.5474977,0.0,3.0,1012,91,5.4,0.0,0.0,100,0,0,450,0.0,4,1
7.5474977,0.0,3.0,1012,91,5.4,0.0,0.0,100,0,0,450,0.0,4,1
0.26918522,0.0,2.9,1012,90,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0.26918522,0.0,2.9,1012,90,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0.26918522,0.0,2.9,1012,90,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0.26918522,0.0,2.9,1012,90,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0.06214747,0.0,2.8,1012,88,5.7,0.19,0.0,100,0,0,450,0.0,5,1
0.06214747,0.0,2.8,1012,88,5.7,0.19,0.0,100,0,0,450,0.0,5,1
0.06214747,0.0,2.8,1012,88,5.7,0.19,0.0,100,0,0,450,0.0,5,1
0.06214747,0.0,2.8,1012,88,5.7,0.19,0.0,100,0,0,450,0.0,5,1
0.3831,0.0,2.8,1012,90,5.5,0.26,0.0,100,0,0,450,0.0,5,1
0.3831,0.0,2.8,1012,90,5.5,0.26,0.0,100,0,0,450,0.0,5,1
0.3831,0.0,2.8,1012,90,5.5,0.26,0.0,100,0,0,450,0.0,5,1
0.3831,0.0,2.8,1012,90,5.5,0.26,0.0,100,0,0,450,0.0,5,1
2.2473564,0.0,2.6,1011,94,5.1,0.33,0.0,100,0,0,450,0.0,5,1
2.2473564,0.0,2.6,1011,94,5.1,0.33,0.0,100,0,0,450,0.0,5,1
2.2473564,0.0,2.6,1011,94,5.1,0.33,0.0,100,0,0,450,0.0,5,1
2.2473564,0.0,2.6,1011,94,5.1,0.33,0.0,100,0,0,450,0.0,5,1
