       Energy delta[Wh]   GHI  temp  pressure  humidity  wind_speed  rain_1h  snow_1h  clouds_all  isSun  sunlightTime  dayLength  SunlightTime/daylength  weather_type  month
63           211.481350   0.0   3.1      1015        93         2.9     0.00     0.00          50      0             0        465                    0.00             2     12
64           171.931440   0.0   2.5      1015        94         3.0     0.00     0.00          62      0             0        465                    0.00             3     12
65           171.931440   0.0   2.5      1015        94         3.0     0.00     0.00          62      0             0        465                    0.00             3     12
66           171.931440   0.0   2.5      1015        94         3.0     0.00     0.00          62      0             0        465                    0.00             3     12
67           171.931440   0.0   2.5      1015        94         3.0     0.00     0.00          62      0             0        465                    0.00             3     12
68           126.680600   0.0   2.9      1016        94         2.8     0.00     0.00          71      0             0        465                    0.00             3     12
69           126.680600   0.0   2.9      1016        94         2.8     0.00     0.00          71      0             0        465                    0.00             3     12
70           126.680600   0.0   2.9      1016        94         2.8     0.00     0.00          71      0             0        465                    0.00             3     12
71           126.680600   0.0   2.9      1016        94         2.8     0.00     0.00          71      0             0        465                    0.00             3     12
72           103.277360   0.0   2.8      1017        94         2.8     0.00     0.00          76      0             0        465                    0.00             3     12
73           103.277360   0.0   2.8      1017        94         2.8     0.00     0.00          76      0             0        465                    0.00             3     12
74           103.277360   0.0   2.8      1017        94         2.8     0.00     0.00          76      0             0        465                    0.00             3     12
75           103.277360   0.0   2.8      1017        94         2.8     0.00     0.00          76      0             0        465                    0.00             3     12
76            61.051056   0.0   1.8      1017        94         2.7     0.00     0.00          88      0             0        465                    0.00             4     12
77            61.051056   0.0   1.8      1017        94         2.7     0.00     0.00          88      0             0        465                    0.00             4     12
78            61.051056   0.0   1.8      1017        94         2.7     0.00     0.00          88      0             0        465                    0.00             4     12
79            61.051056   0.0   1.8      1017        94         2.7     0.00     0.00          88      0             0        465                    0.00             4     12
80            48.349650   0.0   1.4      1018        94         2.6     0.00     0.00          96      0             0        465                    0.00             4     12
81            48.349650   0.0   1.4      1018        94         2.6     0.00     0.00          96      0             0        465                    0.00             4     12
82            48.349650   0.0   1.4      1018        94         2.6     0.00     0.00          96      0             0        465                    0.00             4     12
